,cell,bounds,x0,x1,y0,y1,label,font_size,is_bold,color,text_rotation
704,C1,"(3, 1, 3, 1)",3,1,4,2,График наливов,12.0,False,#ffffff,0
311,D1,"(4, 1, 4, 1)",4,1,5,2,03.10.2023,12.0,True,#ffffff,0
258,E1,"(5, 1, 5, 1)",5,1,6,2,0,9.0,False,#da9694,90
777,F1,"(6, 1, 6, 1)",6,1,7,2,05,9.0,False,#ccffff,90
558,G1,"(7, 1, 7, 1)",7,1,8,2,10,9.0,False,#ccffff,90
508,H1,"(8, 1, 8, 1)",8,1,9,2,15,9.0,False,#ccffff,90
1006,I1,"(9, 1, 9, 1)",9,1,10,2,20,9.0,False,#ccffff,90
62,J1,"(10, 1, 10, 1)",10,1,11,2,25,9.0,False,#ccffff,90
405,K1,"(11, 1, 11, 1)",11,1,12,2,30,9.0,False,#ccffff,90
358,L1,"(12, 1, 12, 1)",12,1,13,2,35,9.0,False,#ccffff,90
859,M1,"(13, 1, 13, 1)",13,1,14,2,40,9.0,False,#ccffff,90
818,N1,"(14, 1, 14, 1)",14,1,15,2,45,9.0,False,#ccffff,90
601,O1,"(15, 1, 15, 1)",15,1,16,2,50,9.0,False,#ccffff,90
190,P1,"(16, 1, 16, 1)",16,1,17,2,55,9.0,False,#ccffff,90
1479,Q1,"(17, 1, 17, 1)",17,1,18,2,1,9.0,False,#da9694,90
674,R1,"(18, 1, 18, 1)",18,1,19,2,05,9.0,False,#ccffff,90
446,S1,"(19, 1, 19, 1)",19,1,20,2,10,9.0,False,#ccffff,90
46,T1,"(20, 1, 20, 1)",20,1,21,2,15,9.0,False,#ccffff,90
3,U1,"(21, 1, 21, 1)",21,1,22,2,20,9.0,False,#ccffff,90
1288,V1,"(22, 1, 22, 1)",22,1,23,2,25,9.0,False,#ccffff,90
287,W1,"(23, 1, 23, 1)",23,1,24,2,30,9.0,False,#ccffff,90
1562,X1,"(24, 1, 24, 1)",24,1,25,2,35,9.0,False,#ccffff,90
1584,Y1,"(25, 1, 25, 1)",25,1,26,2,40,9.0,False,#ccffff,90
1143,Z1,"(26, 1, 26, 1)",26,1,27,2,45,9.0,False,#ccffff,90
1097,AA1,"(27, 1, 27, 1)",27,1,28,2,50,9.0,False,#ccffff,90
1409,AB1,"(28, 1, 28, 1)",28,1,29,2,55,9.0,False,#ccffff,90
1369,AC1,"(29, 1, 29, 1)",29,1,30,2,2,9.0,False,#da9694,90
994,AD1,"(30, 1, 30, 1)",30,1,31,2,05,9.0,False,#ccffff,90
947,AE1,"(31, 1, 31, 1)",31,1,32,2,10,9.0,False,#ccffff,90
1273,AF1,"(32, 1, 32, 1)",32,1,33,2,15,9.0,False,#ccffff,90
1233,AG1,"(33, 1, 33, 1)",33,1,34,2,20,9.0,False,#ccffff,90
1186,AH1,"(34, 1, 34, 1)",34,1,35,2,25,9.0,False,#ccffff,90
810,AI1,"(35, 1, 35, 1)",35,1,36,2,30,9.0,False,#ccffff,90
1453,AJ1,"(36, 1, 36, 1)",36,1,37,2,35,9.0,False,#ccffff,90
1077,AK1,"(37, 1, 37, 1)",37,1,38,2,40,9.0,False,#ccffff,90
1032,AL1,"(38, 1, 38, 1)",38,1,39,2,45,9.0,False,#ccffff,90
970,AM1,"(39, 1, 39, 1)",39,1,40,2,50,9.0,False,#ccffff,90
1312,AN1,"(40, 1, 40, 1)",40,1,41,2,55,9.0,False,#ccffff,90
1270,AO1,"(41, 1, 41, 1)",41,1,42,2,3,9.0,False,#da9694,90
894,AP1,"(42, 1, 42, 1)",42,1,43,2,05,9.0,False,#ccffff,90
844,AQ1,"(43, 1, 43, 1)",43,1,44,2,10,9.0,False,#ccffff,90
613,AR1,"(44, 1, 44, 1)",44,1,45,2,15,9.0,False,#ccffff,90
562,AS1,"(45, 1, 45, 1)",45,1,46,2,20,9.0,False,#ccffff,90
156,AT1,"(46, 1, 46, 1)",46,1,47,2,25,9.0,False,#ccffff,90
114,AU1,"(47, 1, 47, 1)",47,1,48,2,30,9.0,False,#ccffff,90
959,AV1,"(48, 1, 48, 1)",48,1,49,2,35,9.0,False,#ccffff,90
412,AW1,"(49, 1, 49, 1)",49,1,50,2,40,9.0,False,#ccffff,90
532,AX1,"(50, 1, 50, 1)",50,1,51,2,45,9.0,False,#ccffff,90
1684,AY1,"(51, 1, 51, 1)",51,1,52,2,50,9.0,False,#ccffff,90
89,AZ1,"(52, 1, 52, 1)",52,1,53,2,55,9.0,False,#ccffff,90
775,BA1,"(53, 1, 53, 1)",53,1,54,2,4,9.0,False,#da9694,90
382,BB1,"(54, 1, 54, 1)",54,1,55,2,05,9.0,False,#ccffff,90
340,BC1,"(55, 1, 55, 1)",55,1,56,2,10,9.0,False,#ccffff,90
1110,BD1,"(56, 1, 56, 1)",56,1,57,2,15,9.0,False,#ccffff,90
42,BE1,"(57, 1, 57, 1)",57,1,58,2,20,9.0,False,#ccffff,90
57,BF1,"(58, 1, 58, 1)",58,1,59,2,25,9.0,False,#ccffff,90
1333,BG1,"(59, 1, 59, 1)",59,1,60,2,30,9.0,False,#ccffff,90
1293,BH1,"(60, 1, 60, 1)",60,1,61,2,35,9.0,False,#ccffff,90
1620,BI1,"(61, 1, 61, 1)",61,1,62,2,40,9.0,False,#ccffff,90
1572,BJ1,"(62, 1, 62, 1)",62,1,63,2,45,9.0,False,#ccffff,90
1198,BK1,"(63, 1, 63, 1)",63,1,64,2,50,9.0,False,#ccffff,90
1147,BL1,"(64, 1, 64, 1)",64,1,65,2,55,9.0,False,#ccffff,90
1474,BM1,"(65, 1, 65, 1)",65,1,66,2,5,9.0,False,#da9694,90
1420,BN1,"(66, 1, 66, 1)",66,1,67,2,05,9.0,False,#ccffff,90
1378,BO1,"(67, 1, 67, 1)",67,1,68,2,10,9.0,False,#ccffff,90
1003,BP1,"(68, 1, 68, 1)",68,1,69,2,15,9.0,False,#ccffff,90
1652,BQ1,"(69, 1, 69, 1)",69,1,70,2,20,9.0,False,#ccffff,90
1283,BR1,"(70, 1, 70, 1)",70,1,71,2,25,9.0,False,#ccffff,90
1241,BS1,"(71, 1, 71, 1)",71,1,72,2,30,9.0,False,#ccffff,90
802,BT1,"(72, 1, 72, 1)",72,1,73,2,35,9.0,False,#ccffff,90
817,BU1,"(73, 1, 73, 1)",73,1,74,2,40,9.0,False,#ccffff,90
1468,BV1,"(74, 1, 74, 1)",74,1,75,2,45,9.0,False,#ccffff,90
1091,BW1,"(75, 1, 75, 1)",75,1,76,2,50,9.0,False,#ccffff,90
650,BX1,"(76, 1, 76, 1)",76,1,77,2,55,9.0,False,#ccffff,90
673,BY1,"(77, 1, 77, 1)",77,1,78,2,6,9.0,False,#da9694,90
1321,BZ1,"(78, 1, 78, 1)",78,1,79,2,05,9.0,False,#ccffff,90
887,CA1,"(79, 1, 79, 1)",79,1,80,2,10,9.0,False,#ccffff,90
504,CB1,"(80, 1, 80, 1)",80,1,81,2,15,9.0,False,#ccffff,90
456,CC1,"(81, 1, 81, 1)",81,1,82,2,20,9.0,False,#ccffff,90
1182,CD1,"(82, 1, 82, 1)",82,1,83,2,25,9.0,False,#ccffff,90
740,CE1,"(83, 1, 83, 1)",83,1,84,2,30,9.0,False,#ccffff,90
757,CF1,"(84, 1, 84, 1)",84,1,85,2,35,9.0,False,#ccffff,90
301,CG1,"(85, 1, 85, 1)",85,1,86,2,40,9.0,False,#ccffff,90
969,CH1,"(86, 1, 86, 1)",86,1,87,2,45,9.0,False,#ccffff,90
591,CI1,"(87, 1, 87, 1)",87,1,88,2,50,9.0,False,#ccffff,90
544,CJ1,"(88, 1, 88, 1)",88,1,89,2,55,9.0,False,#ccffff,90
139,CK1,"(89, 1, 89, 1)",89,1,90,2,7,9.0,False,#da9694,90
830,CL1,"(90, 1, 90, 1)",90,1,91,2,05,9.0,False,#ccffff,90
439,CM1,"(91, 1, 91, 1)",91,1,92,2,10,9.0,False,#ccffff,90
393,CN1,"(92, 1, 92, 1)",92,1,93,2,15,9.0,False,#ccffff,90
349,CO1,"(93, 1, 93, 1)",93,1,94,2,20,9.0,False,#ccffff,90
685,CP1,"(94, 1, 94, 1)",94,1,95,2,25,9.0,False,#ccffff,90
632,CQ1,"(95, 1, 95, 1)",95,1,96,2,30,9.0,False,#ccffff,90
234,CR1,"(96, 1, 96, 1)",96,1,97,2,35,9.0,False,#ccffff,90
182,CS1,"(97, 1, 97, 1)",97,1,98,2,40,9.0,False,#ccffff,90
