sku,plan
"Сулугуни ""Маркет Перекресток"", 45%, 0,28 кг, т/ф",-850.0
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-7512.96
"Сулугуни ""Умалат"" (для хачапури), 45%, 0,12 кг, ф/п",-650.4
"Сулугуни кубики ""ВкусВилл"", 45%, 0,12 кг, ф/п",-230.4
"Сулугуни  ""Умалат"", 45%, 0,37 кг, т/ф, (6 шт)",-1110.0
"Моцарелла для пиццы «Fine Life», 45%, 0,37 кг, т/ф, (6 шт)",-150.0
"Моцарелла для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф, (8 шт)",-850.0
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-975.2
"Моцарелла для пиццы ""Pretto"", 45%, 0,46 кг, т/ф, (8 шт)",-268.64000000000004
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",-2604.6
"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",-1032.0
"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",-942.0
"Моцарелла ""Unagrande"", 45%, 0,12 кг, ф/п (кубики)",-26.4
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",-64.39999999999998
"Качокавалло ""Unagrande"" (ОК), 45%, кг",-13.830000000000002
"Кавказский ""Умалат"" (Перекресток), 45%, кг, в/у",-3164.0999999999995
"Кавказский ""Умалат"" (Окей), 45%, кг, в/у",-3.0
"Кавказский ""Умалат"" (Метро), 45%, кг, в/у",-69.0
"Кавказский ""Умалат"", 45%, 0,37 кг, в/у",-700.0
"Кавказский ""Глобус"", 45%, кг, в/у",-72.0
"Кавказский ""Умалат"", 45%, кг, в/у",-184.0
"Сыр Черкесский ""Умалат"", 45%, 0,28 кг, т/ф",-1603.84
"Сыр Черкесский ""Умалат"", 45%, кг, т/ф, ВЕС",-22.129999999999995
"Качорикотта ""Unagrande"", 45%, 0,37 кг, в/у",-88.8
"Четук ""Умалат"", 45%, 0,37 кг, в/у",-189.44
"Рикотта ""Pretto"" (зернистая), 30%, 0,37 кг, в/у",-59.19999999999999
"Рикотта с шоколадом ""Unagrande"", 30%, 0,14 кг, пл/с",-100.0
"Рикотта с шоколадом ""ВкусВилл"", 30%, 0,14 кг, пл/с",-272.11999999999995
"Рикотта с шоколадом ""Unagrande"", 30%, 0,18 кг, пл/с",-500.0
"Рикотта ""Pretto"", 45%, 0,5 кг, пл/с",-6800.0
"Рикотта ""Избёнка"", 45%, 0,18 кг, пл/с (6 шт)",-846.78
"Кремчиз ""Избёнка"", 70%, 0,18 кг, пл/с (6шт)",-450.0
"Творожный ""Pretto"", 65%, 0,18 кг, пл/с",-57.60000000000002
"Робиола ""Избёнка"", 65%, 0,18 кг, пл/с (6 шт)",-125.28000000000002
"Робиола ""Unagrande"", 65%, 0,18 кг, пл/с",-83.52
"Масло сливочное ""Умалат"", 72,5%  0,5 кг, к/к",-450.0
"Масло сладко-сливочное традиционное 84%, 2 кг, кор (3 вложения)",-450.0
