sku,plan
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-1583
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,125 кг, ф/п, (8 шт)",-611
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-210
"Моцарелла Фиор ди Латте в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-69
"Моцарелла Фиор ди латте в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-90
"Моцарелла сердечки в воде ""Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-15
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",-2200
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-1015
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-5800
"Сулугуни палочки ""Умалат"", 45%, 0,12 кг, т/ф (10 шт.)",-220
"Сулугуни  ""Умалат"", 45%, 0,37 кг, т/ф, (6 шт)",-200
"Моцарелла палочки ""Unagrande"", 45%, 0,12 кг, т/ф",-20
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-850
"Моцарелла для пиццы ""Pretto"", 45%, 0,46 кг, т/ф, (8 шт)",-431
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",-5100
"Моцарелла ""Pretto"", 45%, 1,2 кг, в/у",-1286
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",-856
"Качокавалло ""Unagrande"", 45%, кг",-12
"Качокавалло ""Unagrande"" (ОК), 45%, кг",-6
"Рикотта ""Unagrande"", 50%, 0,25 кг, пл/с",-250
"Рикотта ""Pretto"", 45%, 0,5 кг, пл/с",-9500
"Маскарпоне ""Pretto"", 80%, 0,25 кг, пл/с",-1800
"Масло сливочное ""Умалат"", 72,5%  0,5 кг, к/к",-450
"Масло сливочное ""Умалат"", 72,5%, 2 кг, к/к",-450
