sku,plan
"Моцарелла в воде Фиор Ди Латте без лактозы “Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-303.0
"Моцарелла сердечки в воде ""Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-14.0
"Моцарелла в воде Чильеджина без лактозы ""Unagrande"", 45%, 0,125 кг, ф/п",-93.625
"Моцарелла ""Pretto"", 45%, 1,2 кг, в/у",-1767.6
"Моцарелла ""Unagrande"", 45%, 1,2 кг, в/у",-250.6
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",-1665.0
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",-331.1999999999999
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-690.1999999999998
"Сулугуни палочки ""Умалат"", 45%, 0,12 кг, т/ф (10 шт.)",-210.72
"Сулугуни  ""Умалат"", 45%, 0,37 кг, т/ф, (6 шт)",-1571.76
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-559.3600000000001
"Моцарелла палочки ""Unagrande"", 45%, 0,12 кг, т/ф",-174.36
"Моцарелла палочки ""Бонджорно"", 45%, 0,12 кг, т/ф",-46.8
"Моцарелла для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф, (8 шт)",-449.4
"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",-588.0
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-817.625
"Моцарелла Грандиоза в воде ""Unagrande"", 50%, 0,2 кг, ф/п",-36.8
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",-2986.0
"Качокавалло ""Unagrande"", 45%, кг",-90.16499999999999
"Качокавалло ""Unagrande"" (ОК), 45%, кг",-35.7
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,125 кг, ф/п, (8 шт)",-126.25
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-105.5999999999999
"Моцарелла Фиор ди Латте в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",-409.2
"Моцарелла Фиор ди Латте в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-199.5
"Моцарелла Фиор ди латте в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-195.0
"Моцарелла в воде Чильеджина ""Каждый день"", 45%, 0,1 кг, ф/п",-1.2
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-602.4000000000001
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-126.0
"Моцарелла Чильеджина в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",-710.4
"Моцарелла Чильеджина в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-256.5
