sku,plan
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",-7544.320000000001
"Сулугуни палочки ""Умалат"", 45%, 0,12 кг, т/ф (10 шт.)",-332.4
"Сулугуни ""Умалат"" (для хачапури), 45%, 0,12 кг, ф/п",-650.4
"Сулугуни кубики ""ВкусВилл"", 45%, 0,12 кг, ф/п",-230.4
"Сулугуни  ""Умалат"", 45%, 0,37 кг, т/ф, (6 шт)",-1110.0
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",-975.2
"Моцарелла палочки ""Unagrande"", 45%, 0,12 кг, т/ф",-76.8
"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",-1032.0
"Моцарелла для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф, (8 шт)",-324.8000000000001
"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",-942.0
"Моцарелла ""Unagrande"", 45%, 0,12 кг, ф/п (кубики)",-26.4
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125 кг, ф/п, (8 шт)",-730.0
"Моцарелла Грандиоза в воде ""Unagrande"", 50%, 0,2 кг, ф/п",-9.6
"Моцарелла Чильеджина в воде ""Unagrande"", 50%, 0,125, ф/п, (8 шт)",-2155.0
"Качокавалло ""Unagrande"" (ОК), 45%, кг",-13.3
"Моцарелла в воде Фиор Ди Латте без лактозы ""ВкусВилл"", 45%, 0,125 кг, ф/п (8 шт)",-333.0
"Моцарелла без лактозы для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф",-2.24
"Моцарелла сердечки в воде ""Unagrande"", 45%, 0,125 кг, ф/п, (8 шт)",-9.0
"Моцарелла в воде Чильеджина без лактозы ""Unagrande"", 45%, 0,125 кг, ф/п",-7.0
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,125 кг, ф/п, (8 шт)",-91.0
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-506.3999999999999
"Моцарелла Фиор ди Латте в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",-162.0
"Моцарелла Фиор ди Латте в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-429.0
"Моцарелла Фиор ди латте в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-39.0
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1 кг, ф/п, (8 шт)",-1209.6
"Моцарелла Чильеджина в воде ""Ваш выбор"", 50%, 0,1 кг, ф/п",-224.4
"Моцарелла Чильеджина в воде ""Красная птица"", 45%, 0,125 кг, ф/п",-397.5
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125 кг, ф/п",-13.5
"Сулугуни ""Маркет Перекресток"", 45%, 0,28 кг, т/ф",-221.76
"Моцарелла для пиццы «Fine Life», 45%, 0,37 кг, т/ф, (6 шт)",-11.1
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",-2604.6
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",-64.4
