sku,plan
"Моцарелла (палочки), 45%, кг, пл/л",=D33
"Моцарелла палочки 7,5 гр Эсперсен, 45%, кг, пл/л",=D34
"Сулугуни ""Маркет Перекресток"", 45%, 0,28 кг, т/ф",-850
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)",=D40
"Сулугуни ""Умалат"" (для хачапури), 45%, 0,12 кг, ф/п",=D45
"Сулугуни кубики ""ВкусВилл"", 45%, 0,12 кг, ф/п",=D46
"Сулугуни  ""Умалат"", 45%, 0,37 кг, т/ф, (6 шт)",=D50
"Моцарелла для пиццы «Fine Life», 45%, 0,37 кг, т/ф, (6 шт)",-150
"Моцарелла для сэндвичей ""Unagrande"", 45%, 0,28 кг, т/ф, (8 шт)",-850
"Моцарелла для пиццы ""Unagrande"", 45%, 0,46 кг, в/у, (8 шт)",=D61
"Моцарелла для пиццы ""Pretto"", 45%, 0,46 кг, т/ф, (8 шт)",=D62
"Моцарелла для пиццы ""Фермерская коллекция"", 45%, 0,2 кг, т/ф",=D65
"Моцарелла ""Pretto"" (для бутербродов), 45%, 0,2 кг, т/ф, (9 шт)",=D66
"Моцарелла ""Pretto"", 45%, 1,2 кг, в/у",=D68
"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",=D69
"Моцарелла ""Unagrande"", 45%, 3 кг, пл/л",=D70
"Моцарелла ""Unagrande"", 45%, 0,12 кг, ф/п (кубики)",=D71
"Моцарелла шары ""Metro Chef"", 45%, кг, в/у",=D73
"Качокавалло ""Unagrande"" (ОК), 45%, кг",=D79
"Качокавалло ""Unagrande"" (Метро), 45%, кг",=D81
"Кавказский ""Умалат"" (Перекресток), 45%, кг, в/у",=D84
"Кавказский ""Умалат"" (Окей), 45%, кг, в/у",=D85
"Кавказский ""Умалат"" (Метро), 45%, кг, в/у",=D87
"Кавказский ""Умалат"", 45%, 0,37 кг, в/у",-700
"Кавказский ""Глобус"", 45%, кг, в/у",=D89
"Кавказский ""Умалат"", 45%, кг, в/у",=D90
"Сыр Черкесский ""Умалат"", 45%, 0,28 кг, т/ф",=D91
"Сыр Черкесский ""Умалат"", 45%, кг, т/ф, ВЕС",=D93
"Сыр Черкесский ""Умалат"" (ДИКСИ), 45%, т/ф, ВЕС",=D94
"Качорикотта ""Unagrande"", 45%, 0,37 кг, в/у",=D101
"Четук ""Умалат"", 45%, 0,37 кг, в/у",=D102
"Рикотта ""Pretto"" (зернистая), 30%, 0,37 кг, в/у",=D108
"Рикотта с шоколадом ""Unagrande"", 30%, 0,14 кг, пл/с",-100
"Рикотта с шоколадом ""ВкусВилл"", 30%, 0,14 кг, пл/с",=D117
"Рикотта с шоколадом ""Unagrande"", 30%, 0,18 кг, пл/с",-500
"Рикотта ""Pretto"", 45%, 0,5 кг, пл/с",-6800
"Рикотта ""Избёнка"", 45%, 0,18 кг, пл/с (6 шт)",=D125
"Кремчиз ""Избёнка"", 70%, 0,18 кг, пл/с (6шт)",-450
"Творожный ""Pretto"", 65%, 0,18 кг, пл/с",=D140
"Робиола ""Избёнка"", 65%, 0,18 кг, пл/с (6 шт)",=D142
"Робиола ""Unagrande"", 65%, 0,18 кг, пл/с",=D143
"Масло сливочное ""Умалат"", 72,5%  0,5 кг, к/к",-450
"Масло сладко-сливочное традиционное 84%, 2 кг, кор (3 вложения)",-450
