,group_id,sku,kg,original_kg,packing_team_id,boiling,bff,configuration,cleaning,sheet,total_volume,line,boiling_volumes,sku_name,batch_id,boiling_id,batch_type,absolute_batch_id
0,10,<MozzarellaSKU 80>,49.04866628830874,49.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла палочки ""Красная птица"", 45%, 0,12 кг, т/ф",10,10,mozzarella,10
1,10,<MozzarellaSKU 74>,68.06753688989784,68.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла палочки ""Бонджорно"", 45%, 0,12 кг, т/ф",10,10,mozzarella,10
2,10,<MozzarellaSKU 73>,197.19565834279229,197.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла палочки ""Unagrande"", 45%, 0,12 кг, т/ф",10,10,mozzarella,10
3,10,<MozzarellaSKU 75>,567.5631384790012,567.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",10,10,mozzarella,10
4,1,<MozzarellaSKU 100>,17.63376798561151,18.0,1,<MozzarellaBoiling 44>,<MozzarellaFormFactor 16>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Чильеджина без лактозы ""Красная птица"", 45%, 0,125/0,225 кг, ф/п",1,1,mozzarella,1
5,1,<MozzarellaSKU 133>,165.5614883093525,169.0,1,<MozzarellaBoiling 44>,<MozzarellaFormFactor 16>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Чильеджина без лактозы ""Unagrande"", 45%, 0,125/0,225 кг, ф/п (6 шт)",1,1,mozzarella,1
6,1,<MozzarellaSKU 134>,176.3376798561151,180.0,1,<MozzarellaBoiling 44>,<MozzarellaFormFactor 14>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте без лактозы “Unagrande"", 45%, 0,125/0,225 кг, ф/п (6 шт)",1,1,mozzarella,1
7,1,<MozzarellaSKU 95>,406.5563174460432,415.0,1,<MozzarellaBoiling 44>,<MozzarellaFormFactor 14>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте без лактозы ""ВкусВилл"", 45%, 0,125/0,225 кг, ф/п (8 шт)",1,1,mozzarella,1
8,1,<MozzarellaSKU 88>,323.2857464028777,330.0,1,<MozzarellaBoiling 44>,<MozzarellaFormFactor 14>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Pretto"", 45%, 0,125/0,225 кг, ф/п, (8 шт)",1,1,mozzarella,1
9,11,<MozzarellaSKU 75>,881.875,880.0,1,<MozzarellaBoiling 39>,<MozzarellaFormFactor 10>,8300,,0,881.875,<MozzarellaLine 1>,[850.0],"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф",11,11,mozzarella,11
10,2,<MozzarellaSKU 111>,604.6484736355226,600.0,1,<MozzarellaBoiling 43>,<MozzarellaFormFactor 14>,8300,,0,1089.375,<MozzarellaLine 2>,[1050.0],"Моцарелла в воде Фиор Ди Латте ""Pretto"", 45%, 1/1,6 кг, ф/п",2,2,mozzarella,2
